graph_id,feature,eigen_val
0,basic_expansion,108.48013519922979
1,basic_expansion,117.78143921441429
2,basic_expansion,120.75274927327204
3,basic_expansion,111.3606194678895
4,basic_expansion,117.089335627914
5,basic_expansion,119.87808868532365
6,basic_expansion,113.21585549123387
7,basic_expansion,106.71755755036327
8,basic_expansion,110.23217199236936
9,basic_expansion,98.14841408358086
10,basic_expansion,96.54687794849013
11,basic_expansion,98.27826379016017
12,basic_expansion,97.89908643124649
13,basic_expansion,100.26810535331688
14,basic_expansion,93.02204281174583
15,basic_expansion,91.84287308969826
16,basic_expansion,93.43453199672503
17,basic_expansion,88.31980260417805
18,basic_expansion,88.57734074403722
19,basic_expansion,88.26134596673671
20,basic_expansion,85.43718658440515
21,basic_expansion,83.67573057396433
22,basic_expansion,88.73351201303228
23,basic_expansion,87.679923477214
24,basic_expansion,87.15088483529776
25,basic_expansion,91.79762574908787
26,basic_expansion,89.24338004639354
27,basic_expansion,94.28754586624856
28,basic_expansion,91.15051097225553
29,basic_expansion,89.80554039239568
30,basic_expansion,91.36260900379817
31,basic_expansion,89.63335107762363
32,basic_expansion,89.42303275014626
33,basic_expansion,86.00343839644023
34,basic_expansion,88.72209558583026
35,basic_expansion,94.88224895603187
36,basic_expansion,91.29796741343051
37,basic_expansion,90.44505469561355
38,basic_expansion,89.18088743212833
39,basic_expansion,91.50666889632687
40,basic_expansion,90.41315858022115
41,basic_expansion,86.83001095329065
42,basic_expansion,93.17352960395262
43,basic_expansion,90.0776978404644
44,basic_expansion,88.34610700701352
45,basic_expansion,90.2774060823366
46,basic_expansion,92.2073858949429
47,basic_expansion,90.5326637526335
48,basic_expansion,94.79980922826115
49,basic_expansion,89.6276427034545
50,basic_expansion,87.15698299578226
51,basic_expansion,90.59722658462165
52,basic_expansion,98.23488125079791
53,basic_expansion,89.91355107193006
54,basic_expansion,94.25179852600282
55,basic_expansion,100.08114633401078
56,basic_expansion,86.3540251109696
57,basic_expansion,86.68828465884937
58,basic_expansion,91.4453517278611
59,basic_expansion,91.61667053253063
60,basic_expansion,92.8597792679824
61,basic_expansion,96.56677038453661
62,basic_expansion,93.04155187640173
63,basic_expansion,93.12045427411717
64,basic_expansion,93.30978032440333
65,basic_expansion,88.5512273895036
66,basic_expansion,87.36326705931309
67,basic_expansion,88.61135986281082
68,basic_expansion,95.17154498714982
69,basic_expansion,88.97810012041275
70,basic_expansion,89.81912826841496
71,basic_expansion,97.40152758945622
72,basic_expansion,90.5547895442692
73,basic_expansion,87.83936306754627
74,basic_expansion,91.94372573569137
75,basic_expansion,94.89249779772071
76,basic_expansion,92.33917036042342
77,basic_expansion,85.9259292828617
78,basic_expansion,91.36015721642383
79,basic_expansion,90.16770948396226
